iter	Logloss
0	0.3250570841
1	0.1852405465
2	0.1133819259
3	0.07372367158
4	0.04843424849
5	0.03387161264
6	0.0253411915
7	0.01947968113
8	0.01563969196
9	0.01352950972
10	0.01208054438
11	0.01153693936
12	0.01023860764
13	0.009997124149
14	0.009345977993
15	0.008523007009
16	0.008409572935
17	0.008133882231
18	0.007685749645
19	0.007644062564
20	0.007285321311
21	0.007145676799
22	0.007060138207
23	0.006968192667
24	0.006946500355
25	0.006858813571
26	0.006614057984
27	0.00655209262
28	0.006536591698
29	0.006483815601
30	0.00641880017
31	0.006374699489
32	0.006337536459
33	0.006304278446
34	0.006173340175
35	0.006144946872
36	0.00605709271
37	0.006045130604
38	0.00589937926
39	0.005803985143
40	0.005783506261
41	0.005737158416
42	0.005550255295
43	0.005379047079
44	0.005289149947
45	0.005265054725
46	0.00524957097
47	0.005240561674
48	0.005187435689
49	0.005145269465
50	0.005130794073
51	0.0050860422
52	0.004956490815
53	0.004833889821
54	0.004776140095
55	0.004749660489
56	0.004701583372
57	0.004665380887
58	0.004630892934
59	0.004597372209
60	0.004550253517
61	0.004520169845
62	0.004509919918
63	0.004390911767
64	0.004384744354
65	0.004327819473
66	0.004283584951
67	0.004262615279
68	0.004210793427
69	0.00420705108
70	0.004169515828
71	0.00414935619
72	0.004120348008
73	0.004099916326
74	0.004086805746
75	0.004079536869
76	0.004024322625
77	0.003997305926
78	0.003988905827
79	0.003935096921
80	0.003906555896
81	0.003897829545
82	0.003862979951
83	0.00385534892
84	0.003807276425
85	0.003766220927
86	0.003744515569
87	0.003713784509
88	0.003698691149
89	0.003659197175
90	0.003638004492
91	0.00362813198
92	0.003591876525
93	0.003580740182
94	0.003567961437
95	0.003551269002
96	0.003539274033
97	0.003529259016
98	0.00352191216
99	0.003517427325
